,price,unit_price,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,house_type,area
117,400,单价43957元/平米,东方帕堤欧  , 3室2厅 , 91平米 , 南 , 毛坯 , 有电梯,中楼层(共18层)2010年建板楼  ,  顾村
118,186,单价23250元/平米,江海新村  , 2室2厅 , 80平米 , 南 , 精装 , 无电梯,中楼层(共5层)1989年建板楼  ,  南桥
119,279,单价24971元/平米,新南家园  , 2室2厅 , 111.73平米 , 南 , 毛坯 , 无电梯,中楼层(共6层)2004年建板楼  ,  西渡
120,495,单价55469元/平米,保利金爵公寓  , 2室2厅 , 89.24平米 , 南 , 精装 , 有电梯,低楼层(共13层)2009年建板楼  ,  唐镇
121,730,单价59519元/平米,江南名邸  , 3室2厅 , 122.65平米 , 南 , 毛坯 , 有电梯,高楼层(共14层)2004年建板楼  ,  莘庄
122,1050,单价84000元/平米,今日丽园  , 2室2厅 , 125平米 , 暂无数据 , 精装 , 有电梯,中楼层(共28层)2003年建板楼  ,  新华路
123,566,单价38386元/平米,嘉宝紫提湾(公寓)  , 4室2厅 , 147.45平米 , 南 北 , 毛坯 , 有电梯,中楼层(共25层)2012年建板楼  ,  嘉定新城
124,520,单价40423元/平米,柏丽华庭  , 3室2厅 , 128.64平米 , 南 , 精装 , 有电梯,中楼层(共18层)2007年建板楼  ,  杨行
125,220,单价34921元/平米,宝钢九村  , 2室1厅 , 63平米 , 南 , 简装 , 有电梯,高楼层(共13层)1988年建板楼  ,  淞宝
126,450,单价56963元/平米,伟业金锦苑三村  , 2室2厅 , 79平米 , 南 , 简装 , 无电梯,低楼层(共6层)2003年建板楼  ,  金桥
127,186,单价23250元/平米,江海新村  , 2室2厅 , 80平米 , 南 , 精装 , 无电梯,中楼层(共5层)1989年建板楼  ,  南桥
128,400,单价43957元/平米,东方帕堤欧  , 3室2厅 , 91平米 , 南 , 毛坯 , 有电梯,中楼层(共18层)2010年建板楼  ,  顾村
129,308,单价36032元/平米,丰翔新城  , 2室2厅 , 85.48平米 , 南 , 精装 , 有电梯,低楼层(共31层)2009年建板楼  ,  上大
130,1450,单价98493元/平米,尊园  , 3室2厅 , 147.22平米 , 南 , 精装 , 有电梯,低楼层(共37层)2003年建板楼  ,  徐家汇
131,750,单价77129元/平米,金桂小区  , 3室2厅 , 97.24平米 , 南 , 毛坯 , 无电梯,低楼层(共6层)1994年建板楼  ,  花木
132,1200,单价62621元/平米,新塘桥生活广场  , 4室2厅 , 191.63平米 , 南 , 精装 , 有电梯,中楼层(共22层)2005年建板楼  ,  塘桥
133,640,单价66953元/平米,桃林公寓  , 2室2厅 , 95.59平米 , 南 , 简装 , 有电梯,高楼层(共20层)1999年建塔楼  ,  源深
134,1100,单价79844元/平米,东方知音苑  , 4室2厅 , 137.77平米 , 南 , 精装 , 无电梯,中楼层(共5层)2002年建板楼  ,  金杨
135,700,单价69903元/平米,保利御樽苑(公寓)  , 3室2厅 , 100.14平米 , 南 , 精装 , 有电梯,低楼层(共12层)2011年建板楼  ,  唐镇
136,1450,单价99431元/平米,汇龙新城  , 3室2厅 , 145.83平米 , 南 , 精装 , 有电梯,高楼层(共33层)2002年建板楼  ,  五里桥
137,705,单价71910元/平米,大运盛城  , 2室2厅 , 98.04平米 , 南 , 简装 , 有电梯,中楼层(共16层)2002年建板楼  ,  控江路
138,360,单价73771元/平米,长源小区  , 2室1厅 , 48.8平米 , 南 , 精装 , 无电梯,高楼层(共6层)1995年建板楼  ,  中山公园
139,370,单价67716元/平米,龙吴路9弄  , 2室1厅 , 54.64平米 , 南 , 简装 , 无电梯,低楼层(共6层)1986年建板楼  ,  万体馆
140,290,单价48213元/平米,顺馨佳园  , 1室1厅 , 60.15平米 , 南 , 精装 , 无电梯,中楼层(共6层)2009年建板楼  ,  川沙
141,525,单价41903元/平米,品珍苑  , 4室2厅 , 125.29平米 , 暂无数据 , 简装 , 无电梯,高楼层(共6层)2000年建板楼  ,  三林
142,526,单价51967元/平米,贝越水岸名邸  , 2室2厅 , 101.22平米 , 南 , 简装 , 有电梯,中楼层(共8层)2007年建板楼  ,  川沙
143,280,单价83284元/平米,宛南六村  , 1室1厅 , 33.62平米 , 南 , 简装 , 无电梯,中楼层(共5层)1981年建板楼  ,  龙华
144,620,单价70874元/平米,金沙雅苑(二期)  , 2室2厅 , 87.48平米 , 南 北 , 简装 , 无电梯,高楼层(共6层)2003年建板楼  ,  长征
145,635,单价65303元/平米,金地湾流域(公寓)  , 2室1厅 , 97.24平米 , 南 , 精装 , 无电梯,中楼层(共4层)2009年建板楼  ,  三林
146,525,单价72245元/平米,双桥小区  , 2室1厅 , 72.67平米 , 南 , 精装 , 无电梯,低楼层(共6层)1998年建板楼  ,  金桥
147,630,单价66965元/平米,天山新苑  , 2室2厅 , 94.08平米 , 南 , 毛坯 , 无电梯,中楼层(共6层)1998年建板楼  ,  天山
148,350,单价39791元/平米,上隽嘉苑(公寓)  , 2室2厅 , 87.96平米 , 南 , 简装 , 有电梯,中楼层(共21层)2011年建板楼  ,  南翔
149,630,单价61142元/平米,金橘新苑  , 3室2厅 , 103.04平米 , 南 , 精装 , 有电梯,中楼层(共11层)2006年建板楼  ,  三林
150,420,单价51503元/平米,齐爱佳苑  , 2室2厅 , 81.55平米 , 南 , 精装 , 无电梯,高楼层(共6层)2008年建板楼  ,  唐镇
151,1580,单价95480元/平米,仁恒河滨花园  , 4室2厅 , 165.48平米 , 南 , 精装 , 有电梯,中楼层(共27层)2005年建板楼  ,  天山
152,320,单价42340元/平米,水岸金桥苑  , 2室2厅 , 75.58平米 , 北 , 毛坯 , 有电梯,中楼层(共13层)2008年建板楼  ,  江桥
153,500,单价30947元/平米,莘闵花园  , 4室2厅 , 161.57平米 , 南 , 精装 , 无电梯,高楼层(共6层)1997年建板楼  ,  颛桥
154,450,单价50688元/平米,绿川新苑  , 2室2厅 , 88.78平米 , 南 , 精装 , 无电梯,中楼层(共6层)2000年建板楼  ,  北蔡
155,380,单价47001元/平米,澜茵华庭  , 2室2厅 , 80.85平米 , 南 北 , 毛坯 , 无电梯,低楼层(共6层)2005年建板楼  ,  江桥
156,690,单价77529元/平米,日月光水岸花园(公寓)  , 2室2厅 , 89平米 , 南 , 精装 , 有电梯,高楼层(共13层)2010年建板楼  ,  张江
157,399,单价76658元/平米,牡丹小区(浦东)  , 1室1厅 , 52.05平米 , 南 , 简装 , 无电梯,中楼层(共6层)1997年建板楼  ,  花木
158,700,单价101318元/平米,罗山花苑  , 2室2厅 , 69.09平米 , 南 , 精装 , 无电梯,低楼层(共6层)1998年建板楼  ,  碧云
159,1100,单价75379元/平米,苏堤春晓名苑  , 3室2厅 , 145.93平米 , 南 , 精装 , 有电梯,低楼层(共32层)2005年建板楼  ,  长寿路
160,425,单价41444元/平米,城中花园  , 2室2厅 , 102.55平米 , 南 , 精装 , 有电梯,中楼层(共12层)2005年建板楼  ,  康桥
161,705,单价75938元/平米,上海滩大宁城(公寓)  , 3室2厅 , 92.84平米 , 南 北 , 精装 , 有电梯,低楼层(共32层)2011年建板楼  ,  大宁
162,245,单价41795元/平米,海尚康庭  , 1室2厅 , 58.62平米 , 南 , 简装 , 有电梯,中楼层(共14层)2008年建板楼  ,  康桥
163,158,单价19269元/平米,丽泽菊清苑  , 2室1厅 , 82平米 , 南 , 简装 , 有电梯,低楼层(共13层)2010年建板楼  ,  书院镇
164,799,单价92253元/平米,瑞虹新城二期(优贤生活)  , 2室2厅 , 86.61平米 , 东北 , 精装 , 有电梯,中楼层(共39层)2005年建塔楼  ,  临平路
165,690,单价70683元/平米,阳光花城  , 2室2厅 , 97.62平米 , 南 , 毛坯 , 有电梯,中楼层(共18层)2009年建板楼  ,  张江
166,1368,单价132469元/平米,静安豪景苑  , 2室2厅 , 103.27平米 , 南 , 精装 , 有电梯,中楼层(共18层)板楼  ,  江宁路
167,355,单价63884元/平米,密二小区  , 2室1厅 , 55.57平米 , 南 , 毛坯 , 无电梯,低楼层(共6层)1980年建板楼  ,  曲阳
168,478,单价37441元/平米,上海康城  , 3室2厅 , 127.67平米 , 南 , 精装 , 有电梯,中楼层(共17层)2008年建板楼  ,  莘庄
169,475,单价57836元/平米,万兆家园(一期)  , 2室2厅 , 82.13平米 , 南 , 简装 , 无电梯,中楼层(共6层)2002年建板楼  ,  七宝
170,505,单价72205元/平米,茅台雅苑  , 2室1厅 , 69.94平米 , 东南 , 精装,,低楼层(共24层)1992年建塔楼  ,  仙霞
171,528,单价43713元/平米,英伦风尚(公寓)  , 3室2厅 , 120.79平米 , 南 , 毛坯 , 有电梯,高楼层(共11层)2007年建板楼  ,  九亭
172,450,单价56604元/平米,和源名城  , 2室2厅 , 79.5平米 , 南 , 精装 , 有电梯,低楼层(共30层)2011年建板楼  ,  彭浦
173,1000,单价86776元/平米,香溢花城(住宅)  , 2室2厅 , 115.24平米 , 南 , 精装,,中楼层(共25层)板楼  ,  光新
174,350,单价36596元/平米,龙湖郦城  , 2室2厅 , 95.64平米 , 南 , 毛坯 , 有电梯,中楼层(共29层)2011年建板楼  ,  嘉定新城
175,600,单价65496元/平米,怡景大厦  , 2室1厅 , 91.61平米 , 南 , 简装 , 有电梯,高楼层(共18层)1996年建塔楼  ,  鲁迅公园
176,860,单价59042元/平米,万科假日风景(公寓)  , 4室2厅 , 145.66平米 , 南 北 , 精装 , 无电梯,高楼层(共6层)2002年建板楼  ,  莘庄
177,2100,单价64815元/平米,当代艺墅   , 双拼别墅 , 4室3厅 , 324平米 , 暂无数据 , 精装 ,2层2005年建板楼  ,  莘庄
178,635,单价72283元/平米,日月光水岸花园(公寓)  , 2室2厅 , 87.85平米 , 南 , 精装 , 有电梯,中楼层(共13层)2010年建板楼  ,  张江
179,450,单价46065元/平米,绿地东上海  , 2室2厅 , 97.69平米 , 南 , 精装 , 有电梯,低楼层(共14层)2007年建板楼  ,  周浦
180,635,单价72283元/平米,日月光水岸花园(公寓)  , 2室2厅 , 87.85平米 , 南 , 精装 , 有电梯,中楼层(共13层)2010年建板楼  ,  张江
181,328,单价83334元/平米,青南小区  , 1室1厅 , 39.36平米 , 南 , 简装 , 无电梯,高楼层(共5层)1984年建板楼  ,  七宝
182,450,单价114972元/平米,瑞雪大楼  , 1室0厅 , 39.14平米 , 南 , 精装 , 有电梯,中楼层(共22层)1991年建塔楼  ,  淮海中路
183,265,单价62976元/平米,新顺小区  , 1室1厅 , 42.08平米 , 南 , 精装 , 无电梯,高楼层(共5层)1984年建板楼  ,  新华路
184,439,单价49100元/平米,金鼎香樟苑  , 2室2厅 , 89.41平米 , 南 北 , 精装 , 有电梯,低楼层(共18层)2012年建板楼  ,  丰庄
185,720,单价72406元/平米,中远两湾城  , 2室1厅 , 99.44平米 , 南 , 精装 , 有电梯,中楼层(共35层)2002年建板楼  ,  中远两湾城
186,340,单价51205元/平米,万泰花园  , 2室1厅 , 66.4平米 , 南 , 简装 , 无电梯,低楼层(共6层)1996年建板楼  ,  七宝
187,1380,单价90886元/平米,尚东国际名园  , 3室2厅 , 151.84平米 , 南 , 精装 , 无电梯,中楼层(共4层)2009年建板楼  ,  三林
188,178,单价43897元/平米,通河四村  , 2室1厅 , 40.55平米 , 南 , 简装 , 无电梯,高楼层(共6层)1994年建板楼  ,  通河
189,750,单价55709元/平米,东新苑  , 4室2厅 , 134.63平米 , 南 , 精装 , 无电梯,高楼层(共6层)2000年建板楼  ,  武宁
190,435,单价44020元/平米,水岸秀苑  , 3室2厅 , 98.82平米 , 南 北 , 精装 , 有电梯,高楼层(共11层)2006年建板楼  ,  江桥
